name,test_1,test_2,test_3,test_4,test_5
St_48,,60,79,75,55
St_5,90,92,85,61,68
St_49,79,68,,68,68
St_14,82,79,94,86,68
St_24,100,,82,86,75
St_21,93,75,93,,75
St_31,82,,76,79,76
St_26,68,89,76,,76
St_42,79,68,,75,79
St_39,86,82,79,79,79
St_40,86,100,86,82,79
St_9,95,65,79,100,79
St_33,76,60,75,,79
St_44,61,68,76,68,82
St_16,79,89,82,82,82
St_7,89,,82,,82
St_47,91,100,85,86,83
St_36,,95,85,93,84
St_22,,80,75,68,85
St_13,86,99,61,81,85
St_3,95,90,93,84,85
St_4,99,89,95,86,85
St_27,,76,95,98,85
St_32,,82,86,79,86
St_6,85,79,86,84,86
St_12,75,95,86,,86
St_23,93,100,89,82,89
St_10,100,94,89,89,89
St_18,92,95,89,94,89
St_43,94,84,79,95,89
St_38,100,89,89,99,89
St_35,99,68,79,85,93
St_50,65,,79,86,94
St_19,86,85,93,95,94
St_30,89,68,85,89,95
St_2,99,85,95,89,95
St_37,95,86,94,91,95
St_46,79,82,89,95,95
St_28,94,86,99,93,99
St_11,94,93,84,95,100
St_1,61,79,100,79,100
St_45,89,86,85,83,100
St_17,89,100,100,,100
St_15,,60,,50,
St_20,61,55,,60,
St_29,75,61,,61,
St_34,68,67,,65,
St_41,,75,60,67,
St_8,60,79,,82,
St_25,60,79,,86,
