name,pref,pop_2016,pop_2021,diff
Aichi,愛知県,7507691,7516008,0.11
Akita,秋田県,1009705,944902,-6.42
Aomori,青森県,1293619,1221288,-5.59
Chiba,千葉県,6240408,6280561,0.64
Ehime,愛媛県,1413079,1410352,-0.19
Fukui,福井県,782232,760209,-2.82
Fukuoka,福岡県,5106707,5123371,0.33
Fukushima,福島県,1915401,1875759,-2.07
Gifu,岐阜県,2022785,1960461,-3.08
Gunma,群馬県,1968425,1926325,-2.14
Hiroshima,広島県,2838494,2779314,-2.08
Hokkaido,北海道,5352306,5181776,-3.19
Hyogo,兵庫県,5520575,5432560,-1.59
Ibaraki,茨城県,2907262,2852105,-1.9
Ishikawa,石川県,1150818,1113749,-3.22
Iwate,岩手県,1268083,1196277,-5.66
Kagawa,香川県,953924,913523,-4.24
Kagoshima,鹿児島県,1637073,1576074,-3.73
Kanagawa,神奈川県,9145572,9236428,0.99
Kochi,高知県,720907,684049,-5.11
Kumamoto,熊本県,1774538,1727902,-2.63
Kyoto,京都府,2605731,2561358,-1.7
Mie,三重県,1807611,1755415,-2.89
Miyagi,宮城県,2285856,2176879,-4.77
Miyazaki,宮崎県,1095959,1054729,-3.76
Nagano,長野県,2087997,2033181,-2.63
Nagasaki,長崎県,1393904,1327452,-4.77
Nara,奈良県,1356950,1296657,-4.44
Niigata,新潟県,2329431,2290036,-1.69
Oita,大分県,1159634,1125146,-2.97
Okayama,岡山県,1900106,1812190,-4.63
Okinawa,沖縄県,1366514,1315350,-3.74
Osaka,大阪府,8837812,8807279,-0.35
Saga,佐賀県,828388,805338,-2.78
Saitama,埼玉県,7288081,7340945,0.73
Shiga,滋賀県,1374881,1320782,-3.93
Shimane,島根県,689817,664807,-3.63
Shizuoka,静岡県,3686945,3606480,-2.18
Tochigi,栃木県,1966381,1921575,-2.28
Tokushima,徳島県,750210,711843,-5.11
Tokyo,東京都,13636222,14011487,2.75
Tottori,鳥取県,569579,548562,-3.69
Toyama,富山県,1061393,1025409,-3.39
Wakayama,和歌山県,972156,942035,-3.1
Yamagata,山形県,1113029,1060958,-4.68
Yamaguchi,山口県,1439913,1468526,1.99
Yamanashi,山梨県,829884,805721,-2.91
